ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
44,1,2022-03-24T18:13:00,47,Mr.,Fundy Royal,Nay,Rob,Moore,New Brunswick,Conservative,false,true,false,Agreed To,17210
44,1,2022-03-24T18:13:00,47,Mr.,Charleswood—St. James—Assiniboia—Headingley,Nay,Marty,Morantz,Manitoba,Conservative,false,true,false,Agreed To,105511
44,1,2022-03-24T18:13:00,47,Mr.,Kitchener Centre,Yea,Mike,Morrice,Ontario,Green Party,true,false,false,Agreed To,110476
44,1,2022-03-24T18:13:00,47,Mr.,Kootenay—Columbia,Nay,Rob,Morrison,British Columbia,Conservative,false,true,false,Agreed To,105807
44,1,2022-03-24T18:13:00,47,Mr.,Egmont,Yea,Robert,Morrissey,Prince Edward Island,Liberal,true,false,false,Agreed To,88308
44,1,2022-03-24T18:13:00,47,Mr.,Medicine Hat—Cardston—Warner,Nay,Glen,Motz,Alberta,Conservative,false,true,false,Agreed To,94305
44,1,2022-03-24T18:13:00,47,Ms.,Vancouver Quadra,Yea,Joyce,Murray,British Columbia,Liberal,true,false,false,Agreed To,35950
44,1,2022-03-24T18:13:00,47,Mr.,Flamborough—Glanbrook,Nay,Dan,Muys,Ontario,Conservative,false,true,false,Agreed To,110415
44,1,2022-03-24T18:13:00,47,Mr.,Ottawa Centre,Yea,Yasir,Naqvi,Ontario,Liberal,true,false,false,Agreed To,110572
44,1,2022-03-24T18:13:00,47,Mr.,Perth—Wellington,Nay,John,Nater,Ontario,Conservative,false,true,false,Agreed To,88917
44,1,2022-03-24T18:13:00,47,Ms.,Markham—Thornhill,Yea,Mary,Ng,Ontario,Liberal,true,false,false,Agreed To,96352
44,1,2022-03-24T18:13:00,47,Mr.,Vancouver Granville,Yea,Taleeb,Noormohamed,British Columbia,Liberal,true,false,false,Agreed To,72023
44,1,2022-03-24T18:13:00,47,Ms.,Saint-Jean,Yea,Christine,Normandin,Quebec,Bloc Québécois,true,false,false,Agreed To,104947
44,1,2022-03-24T18:13:00,47,Ms.,Pickering—Uxbridge,Yea,Jennifer,O'Connell,Ontario,Liberal,true,false,false,Agreed To,88925
44,1,2022-03-24T18:13:00,47,Mr.,Don Valley West,Yea,Robert,Oliphant,Ontario,Liberal,true,false,false,Agreed To,58858
44,1,2022-03-24T18:13:00,47,Mr.,St. John's South—Mount Pearl,Yea,Seamus,O'Regan,Newfoundland and Labrador,Liberal,true,false,false,Agreed To,88299
44,1,2022-03-24T18:13:00,47,Mr.,Durham,Nay,Erin,O'Toole,Ontario,Conservative,false,true,false,Agreed To,72773
44,1,2022-03-24T18:13:00,47,Mr.,Cypress Hills—Grasslands,Nay,Jeremy,Patzer,Saskatchewan,Conservative,false,true,false,Agreed To,105559
44,1,2022-03-24T18:13:00,47,Mr.,Charlesbourg—Haute-Saint-Charles,Nay,Pierre,Paul-Hus,Quebec,Conservative,false,true,false,Agreed To,71454
44,1,2022-03-24T18:13:00,47,Ms.,Repentigny,Yea,Monique,Pauzé,Quebec,Bloc Québécois,true,false,false,Agreed To,88595
44,1,2022-03-24T18:13:00,47,Mr.,South Shore—St. Margarets,Nay,Rick,Perkins,Nova Scotia,Conservative,false,true,false,Agreed To,109922
44,1,2022-03-24T18:13:00,47,Mr.,Berthier—Maskinongé,Yea,Yves,Perron,Quebec,Bloc Québécois,true,false,false,Agreed To,88418
44,1,2022-03-24T18:13:00,47,Ms.,Moncton—Riverview—Dieppe,Yea,Ginette,Petitpas Taylor,New Brunswick,Liberal,true,false,false,Agreed To,88364
44,1,2022-03-24T18:13:00,47,Mr.,Bécancour—Nicolet—Saurel,Yea,Louis,Plamondon,Quebec,Bloc Québécois,true,false,false,Agreed To,413
44,1,2022-03-24T18:13:00,47,Mr.,Carleton,Nay,Pierre,Poilievre,Ontario,Conservative,false,true,false,Agreed To,25524
44,1,2022-03-24T18:13:00,47,Mr.,Thunder Bay—Rainy River,Yea,Marcus,Powlowski,Ontario,Liberal,true,false,false,Agreed To,105437
44,1,2022-03-24T18:13:00,47,Ms.,Delta,Yea,Carla,Qualtrough,British Columbia,Liberal,true,false,false,Agreed To,89272
44,1,2022-03-24T18:13:00,47,Mr.,Richmond—Arthabaska,Nay,Alain,Rayes,Quebec,Conservative,false,true,false,Agreed To,88600
44,1,2022-03-24T18:13:00,47,Mr.,Saskatoon West,Nay,Brad,Redekopp,Saskatchewan,Conservative,false,true,false,Agreed To,105598
44,1,2022-03-24T18:13:00,47,Mr.,Lanark—Frontenac—Kingston,Nay,Scott,Reid,Ontario,Conservative,false,true,false,Agreed To,1827
44,1,2022-03-24T18:13:00,47,Mr.,Banff—Airdrie,Nay,Blake,Richards,Alberta,Conservative,false,true,false,Agreed To,59235
44,1,2022-03-24T18:13:00,47,Mrs.,King—Vaughan,Nay,Anna,Roberts,Ontario,Conservative,false,true,false,Agreed To,105191
44,1,2022-03-24T18:13:00,47,Mr.,Marc-Aurèle-Fortin,Yea,Yves,Robillard,Quebec,Liberal,true,false,false,Agreed To,88617
44,1,2022-03-24T18:13:00,47,Mr.,Honoré-Mercier,Yea,Pablo,Rodriguez,Quebec,Liberal,true,false,false,Agreed To,25451
44,1,2022-03-24T18:13:00,47,Mr.,Bonavista—Burin—Trinity,Yea,Churence,Rogers,Newfoundland and Labrador,Liberal,true,false,false,Agreed To,98744
44,1,2022-03-24T18:13:00,47,Mrs.,Longueuil—Charles-LeMoyne,Yea,Sherry,Romanado,Quebec,Liberal,true,false,false,Agreed To,88521
44,1,2022-03-24T18:13:00,47,Ms.,Lambton—Kent—Middlesex,Nay,Lianne,Rood,Ontario,Conservative,false,true,false,Agreed To,105210
44,1,2022-03-24T18:13:00,47,Mr.,Bruce—Grey—Owen Sound,Nay,Alex,Ruff,Ontario,Conservative,false,true,false,Agreed To,105070
44,1,2022-03-24T18:13:00,47,Ms.,Brampton North,Yea,Ruby,Sahota,Ontario,Liberal,true,false,false,Agreed To,88698
44,1,2022-03-24T18:13:00,47,Mr.,Vancouver South,Yea,Harjit S.,Sajjan,British Columbia,Liberal,true,false,false,Agreed To,89497
44,1,2022-03-24T18:13:00,47,Ms.,York Centre,Yea,Ya'ara,Saks,Ontario,Liberal,true,false,false,Agreed To,107099
44,1,2022-03-24T18:13:00,47,Mr.,Sackville—Preston—Chezzetcook,Yea,Darrell,Samson,Nova Scotia,Liberal,true,false,false,Agreed To,88333
44,1,2022-03-24T18:13:00,47,Mr.,Surrey Centre,Yea,Randeep,Sarai,British Columbia,Liberal,true,false,false,Agreed To,89339
44,1,2022-03-24T18:13:00,47,Mr.,Saint-Hyacinthe—Bagot,Yea,Simon-Pierre,Savard-Tremblay,Quebec,Bloc Québécois,true,false,false,Agreed To,104944
44,1,2022-03-24T18:13:00,47,Mr.,Lac-Saint-Louis,Yea,Francis,Scarpaleggia,Quebec,Liberal,true,false,false,Agreed To,25453
44,1,2022-03-24T18:13:00,47,Mr.,Regina—Qu'Appelle,Nay,Andrew,Scheer,Saskatchewan,Conservative,false,true,false,Agreed To,25454
44,1,2022-03-24T18:13:00,47,Mr.,Vaudreuil—Soulanges,Yea,Peter,Schiefke,Quebec,Liberal,true,false,false,Agreed To,88649
44,1,2022-03-24T18:13:00,47,Mr.,Haliburton—Kawartha Lakes—Brock,Nay,Jamie,Schmale,Ontario,Conservative,false,true,false,Agreed To,88770
44,1,2022-03-24T18:13:00,47,Mr.,Dufferin—Caledon,Nay,Kyle,Seeback,Ontario,Conservative,false,true,false,Agreed To,58841
44,1,2022-03-24T18:13:00,47,Mr.,Nickel Belt,Yea,Marc,Serré,Ontario,Liberal,true,false,false,Agreed To,88874
44,1,2022-03-24T18:13:00,47,Ms.,Humber River—Black Creek,Yea,Judy A.,Sgro,Ontario,Liberal,true,false,false,Agreed To,1787
44,1,2022-03-24T18:13:00,47,Mrs.,Châteauguay—Lacolle,Yea,Brenda,Shanahan,Quebec,Liberal,true,false,false,Agreed To,88442
44,1,2022-03-24T18:13:00,47,Mr.,Sault Ste. Marie,Yea,Terry,Sheehan,Ontario,Liberal,true,false,false,Agreed To,88944
44,1,2022-03-24T18:13:00,47,Mr.,Bow River,Nay,Martin,Shields,Alberta,Conservative,false,true,false,Agreed To,89109
44,1,2022-03-24T18:13:00,47,Mr.,Barrie—Springwater—Oro-Medonte,Nay,Doug,Shipley,Ontario,Conservative,false,true,false,Agreed To,105031
44,1,2022-03-24T18:13:00,47,Mr.,Brampton East,Yea,Maninder,Sidhu,Ontario,Liberal,true,false,false,Agreed To,105045
44,1,2022-03-24T18:13:00,47,Ms.,Brampton South,Yea,Sonia,Sidhu,Ontario,Liberal,true,false,false,Agreed To,88703
44,1,2022-03-24T18:13:00,47,Mr.,Jonquière,Yea,Mario,Simard,Quebec,Bloc Québécois,true,false,false,Agreed To,104773
